eBird_count,eBird_code,State,County,PerCapitaIncome,Population,Region,Subregion,logcheck,logGDP,logpop,RDistance,RDistance_Deviation
1485,US-KY-219,Kentucky,Todd,17846,12505,South,East South Central,7.3031700512368,9.789534672460096,9.433883843311719,-0.7571827151216188,-1.2752560976793297
2780,US-KY-221,Kentucky,Trigg,25527,14289,South,East South Central,7.930206206684683,10.147491994517667,9.56724528946897,-0.8290599979112824,-1.3834743244851826
95,US-KY-223,Kentucky,Trimble,22070,8818,South,East South Central,4.553876891600541,10.001974499250782,9.084550365917883,1.048048642644481,1.4426949562503721
786,US-KY-225,Kentucky,Union,19464,15138,South,East South Central,6.666956792429207,9.876321884463358,9.624963417869113,-0.19580348314917212,-0.4300451674405182
2757,US-KY-227,Kentucky,Warren,23853,115438,South,East South Central,7.921898411023797,10.079665274569594,11.656488868280348,0.02880112150254643,-0.09188113139916163
246,US-KY-229,Kentucky,Washington,19837,11774,South,East South Central,5.5053315359323625,9.89530415972811,9.373648989588206,0.46414373846360896,0.5635694397974552
1663,US-KY-231,Kentucky,Wayne,16396,20797,South,East South Central,7.416378479192928,9.704792681624228,9.942564024517921,-0.6704143493174345,-1.1446178998269096
103,US-KY-233,Kentucky,Webster,20337,13564,South,East South Central,4.634728988229636,9.920197166099076,9.515174503245529,1.1043065749090097,1.5273967345750612
642,US-KY-235,Kentucky,Whitley,15960,35718,South,East South Central,6.464588303689961,9.6778408710038,10.483410042381445,0.13579731749295879,0.06921202843741257
534,US-KY-237,Kentucky,Wolfe,14157,7299,South,East South Central,6.280395838960195,9.557964480394498,8.895492631451633,-0.5016311827804102,-0.8904984577945183
563,US-KY-239,Kentucky,Woodford,29277,24988,South,East South Central,6.333279628139691,10.284557503809571,10.12615098861346,0.5438037812925032,0.6835053673623315
1018,US-MS-001,Mississippi,Adams,17544,32308,South,East South Central,6.925595197110468,9.772467290097724,10.383070156562187,-0.12059675837039785,-0.3168141425108286
252,US-MS-003,Mississippi,Alcorn,19145,37159,South,East South Central,5.529429087511423,9.859796863911395,10.522961281909057,0.8786192240345732,1.1876025189866262
78,US-MS-005,Mississippi,Amite,16977,13061,South,East South Central,4.356708826689592,9.739614765810634,9.47738596957752,1.131872010181261,1.56889917332228
145,US-MS-007,Mississippi,Attala,18422,19383,South,East South Central,4.976733742420574,9.821300881548181,9.872151672226275,0.9476938452637818,1.2916010667417708
239,US-MS-009,Mississippi,Benton,18597,8682,South,East South Central,5.476463551931511,9.830755556370029,9.06900719585954,0.3071804178942667,0.32724592329391267
354,US-MS-011,Mississippi,Bolivar,16462,34107,South,East South Central,5.869296913133774,9.70880997353259,10.437257920797217,0.5149208722006169,0.6400193438844369
91,US-MS-013,Mississippi,Calhoun,17034,14875,South,East South Central,4.51085950651685,9.742966625701026,9.607437230413831,1.0846704067581556,1.4978325772214032
101,US-MS-015,Mississippi,Carroll,16897,10501,South,East South Central,4.61512051684126,9.73489137036065,9.259225769705994,0.8755632081097289,1.1830013903456773
341,US-MS-017,Mississippi,Chickasaw,16677,17403,South,East South Central,5.831882477283517,9.721785803621579,9.764397884134175,0.2809888270599004,0.2878119407153844
239,US-MS-019,Mississippi,Choctaw,17145,8440,South,East South Central,5.476463551931511,9.74946186489702,9.040737587590003,0.23399785388155755,0.21706246889515932
124,US-MS-021,Mississippi,Claiborne,12177,9553,South,East South Central,4.820281565605037,9.407304205507007,9.164610520270008,0.45614693226914305,0.5515294717729599
200,US-MS-023,Mississippi,Clarke,18066,16614,South,East South Central,5.298317366548036,9.801786997709788,9.718000992399016,0.6661419792034796,0.8676974004319683
274,US-MS-025,Mississippi,Clay,18273,20539,South,East South Central,5.6131281063880705,9.813179839504594,9.93008079680565,0.5578938168617096,0.7047192837174192
366,US-MS-027,Mississippi,Coahoma,15742,25815,South,East South Central,5.902633333401366,9.664087578702395,10.158710997313749,0.34974319710294655,0.39132831922102657
128,US-MS-029,Mississippi,Copiah,18318,29204,South,East South Central,4.852030263919617,9.815639461962933,10.282060965175976,1.1785704826665397,1.6392082569542716
325,US-MS-031,Mississippi,Covington,17241,19520,South,East South Central,5.783825182329737,9.75504554717585,9.879194859967084,0.3837663910445558,0.4425535405389653
3575,US-MS-033,Mississippi,DeSoto,25176,163975,South,East South Central,8.181720455128108,10.133646438744243,12.007469256161936,0.05752124064953546,-0.048640203986322225
