eBird_count,eBird_code,State,County,PerCapitaIncome,Population,Region,Division,logcheck,logGDP,logpop,RDistance,RDistance_Deviation
7329,US-IL-143,Illinois,Peoria,28438,187117,Midwest,East North Central,8.89959435992585,10.2554815579563,12.139489368637,0.14851433884159,0.753424307043998
743,US-IL-145,Illinois,Perry,19716,22182,Midwest,East North Central,6.61069604471776,9.88918576782527,10.0070364281647,0.214006022875552,0.904602691755019
2348,US-IL-147,Illinois,Piatt,31190,16620,Midwest,East North Central,7.76131918094799,10.3478528096018,9.71836206840944,0.000593604734017,0.411969999103853
601,US-IL-149,Illinois,Pike,21344,16337,Midwest,East North Central,6.39859493453521,9.96852594871535,9.70118775302651,0.290940111746675,1.08219426626269
669,US-IL-151,Illinois,Pope,20448,4383,Midwest,East North Central,6.50578406012823,9.92564035717726,8.38548870041881,-0.207960293834804,-0.069447481235641
2346,US-IL-153,Illinois,Pulaski,19867,6035,Midwest,East North Central,7.76046702921342,9.89681534276806,8.70533113353163,-0.728622817902833,-1.27132403288072
2872,US-IL-155,Illinois,Putnam,27074,5927,Midwest,East North Central,7.96276393016812,10.2063291367457,8.68727346178784,-0.559102503278598,-0.880010116944369
1622,US-IL-157,Illinois,Randolph,21976,33218,Midwest,East North Central,7.39141523467536,9.99770622777511,10.4108471766589,0.074308994712643,0.582131657789138
332,US-IL-159,Illinois,Richland,23621,16213,Midwest,East North Central,5.80513496891649,10.0698914258577,9.69356866855007,0.653709954651238,1.91959766611637
5705,US-IL-161,Illinois,Rock Island,26455,147477,Midwest,East North Central,8.64909826229618,10.1832004553382,11.9014275103999,0.122782886913831,0.694026852297062
1499,US-IL-165,Illinois,Saline,21596,24950,Midwest,East North Central,7.3125534981026,9.98026339133818,10.1246291011797,0.008082242413108,0.429256470885888
10740,US-IL-167,Illinois,Sangamon,29974,198269,Midwest,East North Central,9.28173036806286,10.3080856182049,12.1973799734925,0.047088675552696,0.519297361456412
486,US-IL-169,Illinois,Schuyler,23656,7490,Midwest,East North Central,6.18620862390049,10.0713720615323,8.92132407651127,0.242893200784572,0.971284698174044
304,US-IL-171,Illinois,Scott,24471,5288,Midwest,East North Central,5.71702770140622,10.1052440219687,8.57319538153152,0.387643553474866,1.3054206244196
862,US-IL-173,Illinois,Shelby,23069,22266,Midwest,East North Central,6.75925527066369,10.0462450038911,10.0108161302887,0.286291616883395,1.07146386659235
21971,US-IL-163,Illinois,St. Clair,26234,268939,Midwest,East North Central,9.99747868095637,10.1748115583751,12.5022398670695,-0.291452377890759,-0.262177269603743
667,US-IL-175,Illinois,Stark,26843,5942,Midwest,East North Central,6.50279004591562,10.1977603583119,8.68980105602255,0.130452295769804,0.711730609035599
1267,US-IL-177,Illinois,Stephenson,23350,47315,Midwest,East North Central,7.14440718032114,10.058352263097,10.7645826489423,0.345265715470287,1.2075973176658
13741,US-IL-179,Illinois,Tazewell,28037,135747,Midwest,East North Central,9.52813934333178,10.2412803454104,11.8185481381045,-0.234515223188693,-0.130745818345959
3323,US-IL-181,Illinois,Union,21719,17722,Midwest,East North Central,8.1086232683546,9.98594273247232,9.78256208460725,-0.460448248771003,-0.65228058057157
2641,US-IL-183,Illinois,Vermilion,21225,81147,Midwest,East North Central,7.87891291229713,9.96293501117955,11.3040176036827,0.089296886655006,0.616729108251622
229,US-IL-185,Illinois,Wabash,24096,11848,Midwest,East North Central,5.43372200355424,10.0898011305996,9.37991435594764,0.752208798462618,2.14696845865219
421,US-IL-187,Illinois,Warren,21832,17762,Midwest,East North Central,6.04263283368238,9.99113206238818,9.78481662281845,0.500719110925755,1.56643971986474
469,US-IL-189,Illinois,Washington,26325,14626,Midwest,East North Central,6.15060276844628,10.1782743370022,9.5905560458309,0.558650887284325,1.70016711598402
244,US-IL-191,Illinois,Wayne,22526,16674,Midwest,East North Central,5.4971682252932,10.0224254766076,9.72160589897056,0.762600993483808,2.17095738610274
1932,US-IL-193,Illinois,White,25375,14630,Midwest,East North Central,7.56631101477246,10.1415197163441,9.59082949401417,-0.132281102581554,0.105247337788552
2828,US-IL-195,Illinois,Whiteside,24525,58150,Midwest,East North Central,7.94732502701646,10.1074482844336,10.9707811579468,0.089456530157586,0.617097622929565
34128,US-IL-197,Illinois,Will,30377,679688,Midwest,East North Central,10.4378734407111,10.3214410220967,13.4293891483312,-0.07230806257032,0.243686705302846
11467,US-IL-199,Illinois,Williamson,23605,66606,Midwest,East North Central,9.34722862403831,10.0692138329804,11.1065499425607,-0.529211891563129,-0.811011824049267
17703,US-IL-201,Illinois,Winnebago,24495,293384,Midwest,East North Central,9.78148939572528,10.1062242940727,12.5892376101434,-0.234649824702951,-0.131056527099372
7810,US-IL-203,Illinois,Woodford,30926,38903,Midwest,East North Central,8.96316024283373,10.3393525330354,10.5688266474555,-0.285590379390357,-0.24864566665993
512,US-IN-001,Indiana,Adams,20160,34424,Midwest,East North Central,6.23832462503951,9.91145572218531,10.4465092745184,0.532188892391782,1.63908330506825
9931,US-IN-003,Indiana,Allen,25279,358324,Midwest,East North Central,9.20341645690336,10.1377292905164,12.7891928840249,0.099549411021381,0.640395625547394
1762,US-IN-005,Indiana,Bartholomew,27359,77930,Midwest,East North Central,7.47420480649612,10.2168008213609,11.2635662668376,0.48477076597142,1.52962519807354
1645,US-IN-007,Indiana,Benton,23049,8823,Midwest,East North Central,7.40549566319947,10.0453776635357,9.0851172272221,-0.304342393793402,-0.291932066900608
653,US-IN-009,Indiana,Blackford,20322,12665,Midwest,East North Central,6.48157712927643,9.91945932204583,9.44659756243578,0.131829779184427,0.714910336670652
7401,US-IN-011,Indiana,Boone,37482,58009,Midwest,East North Central,8.90937040519747,10.5316160967216,10.9683534499044,0.036844939191016,0.495651130039286
4435,US-IN-013,Indiana,Brown,25833,15128,Midwest,East North Central,8.39728289474368,10.1594080233643,9.62430261033829,-0.491951294080483,-0.725000950701241
466,US-IN-015,Indiana,Carroll,24531,20109,Midwest,East North Central,6.14418563412565,10.1076929028301,9.90892275502607,0.593748383368092,1.78118477255541
2537,US-IN-017,Indiana,Cass,21700,38802,Midwest,East North Central,7.83873755959928,9.98506753952855,10.5662270706746,-0.092972399906798,0.195985975267683
3711,US-IN-019,Indiana,Clark,24312,111221,Midwest,East North Central,8.2190566610606,10.0987253345966,11.6192744918898,0.152887527790297,0.763519201549365
931,US-IN-021,Indiana,Clay,21474,26865,Midwest,East North Central,6.83625927727707,9.97459817999408,10.1985796031629,0.243430386611424,0.972524716457146
564,US-IN-023,Indiana,Clinton,21554,33086,Midwest,East North Central,6.33505425149806,9.97831669315678,10.406865511167,0.536381955714786,1.64876240478164
716,US-IN-025,Indiana,Crawford,20504,10656,Midwest,East North Central,6.57368016696065,9.92837526804391,9.27387839278017,0.043523242542157,0.511067058460246
1027,US-IN-027,Indiana,Daviess,21416,31928,Midwest,East North Central,6.93439720992856,9.97189358520019,10.3712386467286,0.247483622036641,0.981881043042365
2947,US-IN-029,Indiana,Dearborn,27058,49975,Midwest,East North Central,7.98854298273769,10.2057379891633,10.8192781593686,0.113127617040556,0.671739013391688
781,US-IN-031,Indiana,Decatur,22046,25939,Midwest,East North Central,6.66057514983969,10.0008864585233,10.1635029066262,0.336798174953536,1.18805118571515
917,US-IN-033,Indiana,DeKalb,22827,42253,Midwest,East North Central,6.82110747225646,10.0356993248446,10.6514306361817,0.437920654699211,1.4214782745345
4706,US-IN-035,Indiana,Delaware,20854,117575,Midwest,East North Central,8.45659356928731,9.94530105534954,11.6748317068133,-0.073140142613864,0.241765965001406
1127,US-IN-037,Indiana,Dubois,25589,42103,Midwest,East North Central,7.02731451403978,10.1499178506255,10.647874276039,0.445577987569029,1.43915415554946
21980,US-IN-039,Indiana,Elkhart,21109,198662,Midwest,East North Central,9.99788822795761,9.95745476880607,12.1993601671706,-0.578900009512033,-0.925709888721882
943,US-IN-041,Indiana,Fayette,18757,24112,Midwest,East North Central,6.84906628263346,9.83932229506034,10.0904649208663,0.085085091448996,0.607006768608501
2461,US-IN-043,Indiana,Floyd,27185,75120,Midwest,East North Central,7.80832305039106,10.21042062958,11.2268421138821,0.31970965780773,1.14860473602744
552,US-IN-045,Indiana,Fountain,23063,17108,Midwest,East North Central,6.3135480462771,10.0459848807647,9.7473014693468,0.412805883170964,1.36350434016356
1519,US-IN-047,Indiana,Franklin,24085,23042,Midwest,East North Central,7.32580750259577,10.0893445190643,10.045073916598,0.074583297652199,0.582764847726689
377,US-IN-049,Indiana,Fulton,21226,20698,Midwest,East North Central,5.93224518744801,9.96298212432177,9.93779235622812,0.571454670699008,1.72972285765373
8345,US-IN-051,Indiana,Gibson,24258,33514,Midwest,East North Central,9.02941783609594,10.0965017388688,10.4197185409607,-0.579900393170819,-0.928019134359055
3659,US-IN-053,Indiana,Grant,20516,69671,Midwest,East North Central,8.20494516501921,9.92896034850916,11.1515394413014,-0.131293927358558,0.107526093600692
14050,US-IN-055,Indiana,Greene,22235,33001,Midwest,East North Central,9.55037767476189,10.0094229029448,10.4042931430198,-0.89941330309652,-1.66556995977128
10517,US-IN-057,Indiana,Hamilton,39521,282977,Midwest,East North Central,9.26074827452003,10.5845874551854,12.5531209012378,0.410413837247569,1.35798263700098
3967,US-IN-059,Indiana,Hancock,28111,70466,Midwest,East North Central,8.28576542051433,10.2439162377965,11.1628856029675,0.117997494004982,0.682980442652255
8105,US-IN-061,Indiana,Harrison,23244,39213,Midwest,East North Central,9.00023643416978,10.053802313195,10.5767636034537,-0.554437672594523,-0.869242008318499
3129,US-IN-063,Indiana,Hendricks,29830,148623,Midwest,East North Central,8.04846874366888,10.3032698775088,11.9091681772163,0.49556906997403,1.55455157125836
1848,US-IN-065,Indiana,Henry,20309,49275,Midwest,East North Central,7.52185925220163,9.91881941653311,10.8051721320209,0.062664011246893,0.555250843586441
452,US-IN-067,Indiana,Howard,24071,82795,Midwest,East North Central,6.11368217983223,10.0887630754064,11.3241229520766,0.99146280264001,2.69925283522166
3235,US-IN-069,Indiana,Huntington,22601,37044,Midwest,East North Central,8.081784206935,10.0257494320691,10.5198616742902,-0.181054795612745,-0.007339904967686
5523,US-IN-071,Indiana,Jackson,22568,42769,Midwest,East North Central,8.61667646990119,10.0242882526818,10.6635688200732,-0.379910004541169,-0.46636931794754
1258,US-IN-073,Indiana,Jasper,24297,33398,Midwest,East North Central,7.13727843726039,10.0981081649171,10.4162512969324,0.280932160651655,1.05909231212715
756,US-IN-075,Indiana,Jay,19236,21333,Midwest,East North Central,6.62804137617953,9.86453880239755,9.96801044855163,0.172523568781225,0.80884625341733
815,US-IN-077,Indiana,Jefferson,21524,32449,Midwest,East North Central,6.70318811324086,9.97692387060931,10.3874249050164,0.361984772111403,1.24619091949752
935,US-IN-079,Indiana,Jennings,20109,28324,Midwest,East North Central,6.84054652928869,9.90892275502607,10.2514647807717,0.198766935822845,0.86942539254396
6453,US-IN-081,Indiana,Johnson,28575,141796,Midwest,East North Central,8.77230041793584,10.260287488663,11.8621446839376,0.126636830171879,0.702923140812373
1992,US-IN-083,Indiana,Knox,21047,38266,Midwest,East North Central,7.59689443814454,9.95451331113917,10.5523170524449,-0.014856805520231,0.376304889864205
3521,US-IN-085,Indiana,Kosciusko,24881,77527,Midwest,East North Central,8.16650031915505,10.1218597389714,11.2583815417655,0.090402294608935,0.619280787772264
6475,US-IN-087,Indiana,LaGrange,19356,37463,Midwest,East North Central,8.77570388656774,9.87075772791321,10.5311090582159,-0.630346738728096,-1.04446746132479
17139,US-IN-089,Indiana,Lake,23918,494250,Midwest,East North Central,9.74911184739257,10.0823865925288,13.1107967410329,-0.090505449882291,0.201680584062203
7610,US-IN-091,Indiana,LaPorte,22852,111310,Midwest,East North Central,8.93721845085573,10.0367939198444,11.6200743804873,-0.218765926313711,-0.094390771182118
3624,US-IN-093,Indiana,Lawrence,22169,46053,Midwest,East North Central,8.19533366716287,10.006450195594,10.7375481861413,-0.182815499968206,-0.011404244499317
3274,US-IN-095,Indiana,Madison,21527,131027,Midwest,East North Central,8.09376775793108,9.97706324019445,11.7831586878164,0.146219097903618,0.748126064638973
33265,US-IN-097,Indiana,Marion,24124,912242,Midwest,East North Central,10.412261072176,10.0909624745709,13.7236605847343,-0.186087072193362,-0.018956211008654
1111,US-IN-099,Indiana,Marshall,21933,47057,Midwest,East North Central,7.01301578963963,9.99574763096143,10.759114911843,0.346981682526247,1.2115583874041
773,US-IN-101,Indiana,Martin,22817,10269,Midwest,East North Central,6.65027904858742,10.0352611511456,9.2368849271983,0.090452483981964,0.61939664291412
1317,US-IN-103,Indiana,Miami,20475,36624,Midwest,East North Central,7.18311170174328,9.92695990872127,10.5084590421923,0.135080701014073,0.722414634632708
22937,US-IN-105,Indiana,Monroe,23032,139634,Midwest,East North Central,10.0405066061942,10.044639832292,11.8467799926648,-0.627007333698107,-1.0367589122811
2386,US-IN-107,Indiana,Montgomery,22679,38215,Midwest,East North Central,7.77737360265786,10.0291946651589,10.550983387677,-0.030465999490986,0.340273250642407
2223,US-IN-109,Indiana,Morgan,25781,69217,Midwest,East North Central,7.7066129139642,10.1573930655004,11.145001776175,0.29345902891581,1.08800883393594
7039,US-IN-111,Indiana,Newton,25594,14151,Midwest,East North Central,8.85922139360813,10.1501132279975,9.55754057195237,-0.737186417045441,-1.29109190272234
5054,US-IN-113,Indiana,Noble,21889,47509,Midwest,East North Central,8.52793528794814,9.99373950651316,10.7686744457591,-0.334490737700283,-0.361525298480836
210,US-IN-115,Indiana,Ohio,25443,6075,Midwest,East North Central,5.34710753071747,10.1441959350298,8.71193726820875,0.641230965122672,1.89079166566635
1494,US-IN-117,Indiana,Orange,18576,19829,Midwest,East North Central,7.30921236569276,9.82962570393767,9.89490079159881,-0.194490142597596,-0.038353522729425
1277,US-IN-119,Indiana,Owen,21318,21467,Midwest,East North Central,7.15226885603254,9.96730706524908,9.97427215125409,0.0243387796799,0.46678241148796
1404,US-IN-121,Indiana,Parke,20534,17210,Midwest,East North Central,7.24708058458576,9.92983732785891,9.75324588920559,-0.120640655689419,0.132117679946113
593,US-IN-123,Indiana,Perry,20934,19450,Midwest,East North Central,6.38519439899773,9.94912991041483,9.87560234904659,0.332030796593376,1.17704636013422
1982,US-IN-125,Indiana,Pike,22245,12780,Midwest,East North Central,7.59186171488993,10.0098725432401,9.45563672793153,-0.303797270201968,-0.290673725399142
18757,US-IN-127,Indiana,Porter,28669,165168,Midwest,East North Central,9.83932229506034,10.263571678604,12.0147184167054,-0.290503257536528,-0.259986358129018
1193,US-IN-129,Indiana,Posey,29187,25713,Midwest,East North Central,7.08422642209792,10.2814786836435,10.154751979567,0.389596959260414,1.30992978822719
804,US-IN-131,Indiana,Pulaski,21641,13253,Midwest,East North Central,6.68959926917897,9.98234494261362,9.49197922088068,0.104271335996031,0.651295528350688
3132,US-IN-133,Indiana,Putnam,21520,37799,Midwest,East North Central,8.04942705711069,9.97673801427572,10.5400379262313,-0.203864407085326,-0.059992700038928
273,US-IN-135,Indiana,Randolph,21592,25975,Midwest,East North Central,5.60947179518496,9.98007815469784,10.1648898159674,0.800000733604293,2.25728945075228
753,US-IN-137,Indiana,Ripley,22059,28636,Midwest,East North Central,6.62406522779989,10.0014759608643,10.2624199465161,0.383214292080667,1.29519629452314
220,US-IN-139,Indiana,Rush,23396,17257,Midwest,East North Central,5.39362754635236,10.0603203465629,9.75597313724758,0.854046561991574,2.38204667995593
1257,US-IN-143,Indiana,Scott,20481,24035,Midwest,East North Central,7.13648320859025,9.92725290608639,10.0872663803281,0.03037360407124,0.480712958807896
541,US-IN-145,Indiana,Shelby,24459,44511,Midwest,East North Central,6.29341927884648,10.104753525331,10.7034916286189,0.752787019020042,2.14830319986655
1322,US-IN-147,Indiana,Spencer,23641,20960,Midwest,East North Central,7.18690102041163,10.0707377718098,9.95037113843498,0.0928963899256,0.625038057673787
19062,US-IN-141,Indiana,St. Joseph,23509,266694,Midwest,East North Central,9.85545210349757,10.065138605538,12.4938572127292,-0.331817159742354,-0.355353718026909
1575,US-IN-149,Indiana,Starke,19773,23267,Midwest,East North Central,7.36201055125973,9.89207264972083,10.0547913266273,-0.114297828144524,0.146759209430077
3246,US-IN-151,Indiana,Steuben,23975,34190,Midwest,East North Central,8.08517874807454,10.0847668997516,10.4396884826333,-0.154776331377841,0.053320251116543
3156,US-IN-153,Indiana,Sullivan,19821,21321,Midwest,East North Central,8.05706068196577,9.894497260698,9.96744778149501,-0.45890640468987,-0.648721449345977
184,US-IN-155,Indiana,Switzerland,20019,10534,Midwest,East North Central,5.21493575760899,9.90443710157172,9.26236340004333,0.65654709072203,1.92614679757808
33359,US-IN-157,Indiana,Tippecanoe,23691,175628,Midwest,East North Central,10.4150828800042,10.0728505081657,12.0761234007748,-0.694021791155261,-1.19145240627347
297,US-IN-159,Indiana,Tipton,25093,15834,Midwest,East North Central,5.6937321388027,10.1303442017622,9.66991480573138,0.752014659718706,2.14652031653846
3773,US-IN-161,Indiana,Union,20883,7420,Midwest,East North Central,8.23562571996431,9.94669070983678,8.91193433616143,-0.841104407827257,-1.53097203743781
7193,US-IN-163,Indiana,Vanderburgh,24378,180233,Midwest,East North Central,8.88086360986736,10.1014363652158,12.1020057372459,0.006943575898877,0.426628018634504
1264,US-IN-165,Indiana,Vermillion,22875,16098,Midwest,East North Central,7.1420365747068,10.0377998901437,9.68645031965368,0.002997085006759,0.417518096861263
5236,US-IN-167,Indiana,Vigo,21192,108084,Midwest,East North Central,8.56331312702979,9.96137903095191,11.5906639815717,-0.130505019788403,0.109347176290832
1242,US-IN-169,Indiana,Wabash,21201,32650,Midwest,East North Central,7.12447826249342,9.96180362935897,10.3936001347046,0.158615726528288,0.776741946471667
705,US-IN-171,Indiana,Warren,27390,8464,Midwest,East North Central,6.55819780281227,10.2179332622571,9.04357715409808,0.234370784390942,0.951611892943451
10544,US-IN-173,Indiana,Warrick,29927,60163,Midwest,East North Central,9.26331225674229,10.3065163619439,11.0048128244017,-0.311460619494616,-0.308363494483994
586,US-IN-175,Indiana,Washington,21370,28064,Midwest,East North Central,6.37331978957701,9.96974334831319,10.2422428951719,0.463623386781464,1.48080943353844
